Date	Price	Open	High	Low	Vol.	Change %
11/16/2016	3.6563	3.6879	3.7058	3.6417		-0.88%
11/15/2016	3.6886	3.6856	3.7189	3.6824		0.07%
11/14/2016	3.6862	3.6797	3.7431	3.6368		0.12%
11-11-16	3.6818	3.6902	3.8087	3.6601		-0.19%
11-10-16	3.6888	3.5104	3.7015	3.4995		5.10%
11-09-16	3.5098	3.4939	3.6074	3.4822		0.43%
11-08-16	3.4947	3.5353	3.554	3.4833		-1.14%
11-07-16	3.5351	3.6029	3.6037	3.5229		-1.88%
11-04-16	3.6027	3.6006	3.6256	3.5756		0.05%
11-03-16	3.601	3.5889	3.6208	3.5629		0.28%
11-02-16	3.5911	3.5762	3.6025	3.574		0.35%
11-01-16	3.5784	3.4999	3.6024	3.4935		2.18%
10/31/2016	3.5022	3.5187	3.5231	3.4628		-0.59%
10/28/2016	3.523	3.4522	3.5253	3.4453		1.98%
10/27/2016	3.4545	3.4238	3.4606	3.4145		0.82%
10/26/2016	3.4264	3.3898	3.4401	3.3807		1.02%
10/25/2016	3.3918	3.3973	3.4076	3.3762		-0.24%
10/24/2016	3.4001	3.4267	3.4366	3.3853		-0.86%
10/21/2016	3.4297	3.433	3.4455	3.4109		-0.17%
10/20/2016	3.4356	3.4761	3.495	3.4224		-1.23%
10/19/2016	3.4785	3.4979	3.5118	3.4668		-0.66%
10/18/2016	3.5015	3.5201	3.5364	3.4868		-0.59%
10/17/2016	3.5223	3.5141	3.5388	3.5061		0.17%
10/14/2016	3.5163	3.5129	3.5263	3.4849		0.07%
10/13/2016	3.5139	3.5224	3.5534	3.5083		-0.33%
10-12-16	3.5255	3.5304	3.5422	3.5165		-0.19%
10-11-16	3.5322	3.5688	3.5785	3.5292		-1.10%
10-10-16	3.5714	3.606	3.61	3.5595		-0.99%
10-07-16	3.6072	3.6006	3.6151	3.5645		0.15%
10-06-16	3.6018	3.6064	3.627	3.5882		-0.18%
10-05-16	3.6084	3.6477	3.662	3.6025		-1.15%
10-04-16	3.6503	3.597	3.6554	3.5752		1.42%
10-03-16	3.5993	3.6633	3.6686	3.5842		-1.79%
09/30/2016	3.665	3.6561	3.6703	3.6118		0.19%
09/29/2016	3.6582	3.6064	3.6663	3.601		1.39%
09/28/2016	3.6079	3.6254	3.6562	3.6003		-0.54%
09/27/2016	3.6276	3.6451	3.6543	3.6036		-0.52%
09/26/2016	3.6464	3.6386	3.666	3.6263		0.10%
09/23/2016	3.6429	3.6082	3.6536	3.5886		0.92%
09/22/2016	3.6098	3.5877	3.6179	3.5741		0.60%
09/21/2016	3.5884	3.6329	3.6386	3.5833		-1.28%
09/20/2016	3.635	3.6564	3.6691	3.6224		-0.62%
09/19/2016	3.6576	3.6404	3.665	3.6308		0.49%
09/16/2016	3.6398	3.7117	3.7285	3.6357		-1.97%
09/15/2016	3.713	3.7584	3.7837	3.7		-1.26%
09/14/2016	3.7604	3.7155	3.7694	3.6995		1.18%
09/13/2016	3.7166	3.6446	3.7422	3.6408		1.93%
09-12-16	3.6464	3.6745	3.7169	3.6387		-0.83%
09-09-16	3.677	3.6122	3.6888	3.6119		1.73%
09-08-16	3.6143	3.5863	3.6277	3.5756		0.69%
09-07-16	3.5896	3.5954	3.6096	3.5838		-0.19%
09-06-16	3.5964	3.6575	3.6663	3.5936		-1.73%
09-05-16	3.6596	3.6301	3.6641	3.6206		0.72%
09-02-16	3.6333	3.6473	3.6689	3.6135		-0.40%
09-01-16	3.6479	3.5996	3.6506	3.5846		1.42%
08/31/2016	3.5969	3.6115	3.6337	3.5839		-0.43%
08/30/2016	3.6124	3.6132	3.6419	3.5921		-0.04%
08/29/2016	3.6138	3.6532	3.6767	3.611		-1.17%
08/26/2016	3.6567	3.65	3.678	3.5889		0.13%
08/25/2016	3.652	3.6314	3.6615	3.6275		0.51%
08/24/2016	3.6333	3.6539	3.6632	3.623		-0.62%
08/23/2016	3.6561	3.6223	3.6623	3.6101		0.90%
08/22/2016	3.6236	3.6232	3.6542	3.6116		-0.14%
08/19/2016	3.6286	3.6766	3.6816	3.6258		-1.34%
08/18/2016	3.678	3.6151	3.6871	3.6128		1.70%
08/17/2016	3.6164	3.6099	3.645	3.5991		0.11%
08/16/2016	3.6124	3.5622	3.6171	3.5577		1.38%
08/15/2016	3.5634	3.5636	3.5691	3.5321		0.01%
08-12-16	3.5632	3.5019	3.5668	3.4915		1.73%
